pygeostat_saved_data
3
residual
trend
data
-1.068930 3.890590 1.838674
0.102070 3.480760 2.548391
-0.236430 3.263620 2.105922
-0.571740 3.174680 1.756827
0.081430 3.048480 2.225106
-0.711620 2.902670 1.445092
0.030710 2.813540 2.015686
-0.787990 2.692120 1.231025
-0.153380 2.656310 1.747377
0.088730 2.593520 1.909631
-0.163280 2.533280 1.651931
-0.109380 2.439690 1.631760
-1.339830 2.393250 0.548667
-0.213550 2.317070 1.456140
-0.387350 2.302620 1.297574
-0.753920 2.210070 0.919245
-0.939450 2.195890 0.750858
-0.058560 2.140680 1.463705
0.613270 2.100330 2.008616
-0.169380 2.050660 1.305461
-0.222790 2.026630 1.242881
-0.550900 1.967720 0.921166
-0.472040 1.945620 0.972850
0.022690 1.905620 1.366844
0.852570 1.847330 2.033974
1.413530 1.835040 2.504093
1.669090 1.782300 2.684934
0.394110 1.754760 1.577197
1.361680 1.714160 2.374361
1.415570 1.680290 2.396409
0.538690 1.671110 1.641454
0.392210 1.618750 1.479401
0.366890 1.614130 1.454522
-0.416420 1.561950 0.749029
-1.851480 1.554350 -0.481246
-0.660860 1.506650 0.501283
-1.615050 1.482150 -0.330493
-0.946100 1.457060 0.222750
-0.453620 1.421750 0.618140
-0.889190 1.416260 0.242476
0.102830 1.366760 1.054216
0.681270 1.364210 1.546142
0.004640 1.336150 0.948761
-0.160990 1.305570 0.785764
-0.491460 1.263250 0.473765
0.288850 1.247810 1.128884
0.028450 1.232130 0.895531
0.292770 1.187830 1.089817
0.552360 1.166780 1.296507
-0.657750 1.150110 0.251826
-0.639800 1.125210 0.249540
-0.351380 1.100530 0.478271
0.353250 1.083240 1.067484
0.656190 1.060980 1.310319
0.607230 1.035790 1.250717
0.860520 1.013340 1.451039
0.917460 0.980380 1.476334
0.190010 0.961500 0.842067
0.762270 0.935950 1.312455
0.570850 0.911370 1.131687
-0.413150 0.885110 0.273222
-0.834680 0.879920 -0.090247
-0.667110 0.853650 0.034208
-1.333100 0.819150 -0.558646
-1.235890 0.809030 -0.482828
-0.807640 0.781510 -0.136753
-1.500440 0.753920 -0.747604
-0.720690 0.726880 -0.101166
0.196910 0.708070 0.668754
0.377100 0.686020 0.806964
0.572620 0.673390 0.964920
0.600010 0.637040 0.962596
0.891800 0.630300 1.206888
0.723620 0.601810 1.043192
0.856540 0.571150 1.134967
1.781080 0.546820 1.906907
2.193100 0.541590 2.254890
1.296800 0.507930 1.466049
0.497410 0.490330 0.771282
1.701230 0.470080 1.784487
1.387470 0.446410 1.499939
1.761820 0.432060 1.809320
2.465030 0.402520 2.388659
1.767770 0.370920 1.771166
1.497360 0.359130 1.532020
1.086400 0.337820 1.166175
0.283880 0.314820 0.464918
0.760590 0.293550 0.856775
0.897790 0.271120 0.958022
0.071630 0.249340 0.237450
0.680950 0.205600 0.726608
0.424910 0.190520 0.497401
0.702930 0.161250 0.714009
0.034220 0.155410 0.139100
-0.606620 0.131600 -0.424727
-0.365280 0.092750 -0.246202
